#EEP,M/Mo,LogTeff,LogG,LogL/Lo,U,B,V,R,I,J,H,Ks,Kp,D51
156,2.546537,3.9886,3.7023,2.0623,-0.403,-0.4952,-0.4684,-0.4069,-0.3151,-0.2908,-0.1921,-0.2021,-0.4468,-0.5163
157,2.54647,3.9948,3.7485,2.0397,-0.3682,-0.4607,-0.4172,-0.3447,-0.2418,-0.2032,-0.0922,-0.1012,-0.3884,-0.4696
158,2.546388,4,3.8013,2.009,-0.3161,-0.4061,-0.3468,-0.265,-0.1524,-0.1005,0.0236,0.0147,-0.3114,-0.4036
159,2.546316,4.0021,3.8518,1.9651,-0.2275,-0.3101,-0.2448,-0.1618,-0.0476,0.0107,0.1407,0.1316,-0.2077,-0.3027
160,2.546285,3.9969,3.871,1.9256,-0.1342,-0.204,-0.1529,-0.0825,0.0187,0.0699,0.194,0.1845,-0.1214,-0.2044
161,2.546278,3.9885,3.8457,1.9175,-0.1158,-0.174,-0.1414,-0.0883,-0.0056,0.0324,0.1463,0.1354,-0.1191,-0.1845
162,2.545774,4.002,3.8805,1.9367,-0.2468,-0.2915,-0.2078,-0.1288,-0.0211,0.0512,0.196,0.187,-0.1683,-0.2631
163,2.545257,4.0081,3.8829,1.9596,-0.379,-0.4052,-0.2848,-0.1922,-0.0724,0.0214,0.1851,0.177,-0.2357,-0.3473
164,2.544707,4.008,3.8528,1.9873,-0.5066,-0.5078,-0.369,-0.276,-0.1585,-0.0592,0.1102,0.1031,-0.3177,-0.4316
165,2.544252,4,3.7958,2.012,-0.6029,-0.573,-0.4422,-0.3639,-0.264,-0.1753,-0.0164,-0.0227,-0.3984,-0.498
166,2.543894,3.9883,3.7296,2.0323,-0.6697,-0.6111,-0.4983,-0.4397,-0.364,-0.2934,-0.152,-0.1583,-0.4656,-0.546
167,2.543628,3.9756,3.6644,2.0476,-0.7244,-0.6372,-0.5378,-0.4994,-0.4471,-0.3975,-0.275,-0.2815,-0.5171,-0.5776
168,2.543417,3.964,3.6042,2.0594,-0.7689,-0.6393,-0.5652,-0.5504,-0.5232,-0.4956,-0.3968,-0.4023,-0.5583,-0.5947
169,2.543258,3.9528,3.5482,2.0705,-0.8041,-0.6345,-0.5884,-0.597,-0.5943,-0.5875,-0.5118,-0.5164,-0.5948,-0.6072
170,2.543139,3.9419,3.4942,2.0807,-0.8305,-0.6374,-0.6112,-0.6395,-0.6579,-0.6718,-0.6157,-0.621,-0.6298,-0.6234
171,2.543067,3.9315,3.4435,2.0917,-0.852,-0.6416,-0.637,-0.6814,-0.7183,-0.7526,-0.7138,-0.7202,-0.665,-0.6418
172,2.543053,3.9228,3.3962,2.1034,-0.8696,-0.644,-0.6651,-0.7246,-0.7788,-0.8318,-0.8085,-0.8162,-0.7018,-0.6642
173,2.54309,3.9142,3.3492,2.116,-0.8878,-0.6487,-0.6948,-0.7688,-0.8384,-0.9088,-0.9009,-0.9094,-0.74,-0.6891
174,2.543181,3.906,3.3041,2.1285,-0.9213,-0.667,-0.7221,-0.8081,-0.8915,-0.9775,-0.9833,-0.9926,-0.7749,-0.7122
175,2.543328,3.8988,3.2614,2.1418,-0.9501,-0.6827,-0.7508,-0.8487,-0.9452,-1.0463,-1.0647,-1.0747,-0.8112,-0.7365
176,2.543518,3.8922,3.2226,2.1546,-0.9615,-0.6848,-0.7849,-0.8947,-1.0031,-1.1183,-1.1484,-1.1594,-0.8518,-0.7654
177,2.543751,3.8867,3.1873,2.1677,-0.9716,-0.6967,-0.8203,-0.9375,-1.0549,-1.182,-1.2204,-1.2336,-0.8904,-0.7974
178,2.544014,3.8813,3.1541,2.18,-0.9837,-0.7185,-0.8534,-0.9757,-1.1003,-1.2394,-1.2826,-1.2979,-0.9269,-0.83
179,2.544295,3.8761,3.1223,2.1916,-0.9945,-0.7331,-0.8833,-1.0122,-1.1442,-1.2943,-1.3444,-1.3611,-0.9601,-0.8586
180,2.544587,3.8714,3.0918,2.2023,-0.9996,-0.7369,-0.909,-1.0467,-1.1879,-1.3493,-1.4079,-1.4249,-0.9911,-0.8809
181,2.544875,3.8667,3.0632,2.2119,-1.0055,-0.7397,-0.9319,-1.0779,-1.2274,-1.3989,-1.4666,-1.4839,-1.0182,-0.9001
182,2.545165,3.8621,3.0308,2.2267,-1.0371,-0.7625,-0.9666,-1.1198,-1.2784,-1.4588,-1.534,-1.5518,-1.0576,-0.9324
183,2.545457,3.8579,3.0017,2.2391,-1.065,-0.783,-0.997,-1.1575,-1.323,-1.5119,-1.5943,-1.6119,-1.0925,-0.9619
184,2.545741,3.854,2.9747,2.2499,-1.0812,-0.7963,-1.0249,-1.1915,-1.3645,-1.5614,-1.6497,-1.6678,-1.1237,-0.9882
185,2.545997,3.8507,2.9525,2.2587,-1.0976,-0.8067,-1.0482,-1.2207,-1.3997,-1.6022,-1.6959,-1.7147,-1.1502,-1.0113
186,2.546198,3.8481,2.9355,2.264,-1.1133,-0.8132,-1.0649,-1.2414,-1.4256,-1.633,-1.7311,-1.7493,-1.1686,-1.0272
187,2.546329,3.8454,2.9292,2.2632,-1.1259,-0.8095,-1.0673,-1.2464,-1.4337,-1.6436,-1.7449,-1.7618,-1.1718,-1.0309
188,2.546386,3.8443,2.9377,2.2491,-1.1152,-0.7782,-1.0392,-1.22,-1.4094,-1.6193,-1.7223,-1.738,-1.1438,-1.0048
189,2.546393,3.8436,2.9636,2.219,-1.0618,-0.7061,-0.9706,-1.1519,-1.3441,-1.553,-1.6579,-1.6718,-1.0747,-0.9381
190,2.546381,3.8418,3.0014,2.1746,-0.9654,-0.5949,-0.8649,-1.0491,-1.2441,-1.4534,-1.5604,-1.5735,-0.97,-0.8337
191,2.54635,3.8401,3.049,2.1194,-0.8396,-0.4543,-0.7321,-0.92,-1.1179,-1.3287,-1.4392,-1.4506,-0.8387,-0.702
192,2.546285,3.8381,3.105,2.0563,-0.6904,-0.2909,-0.5785,-0.7694,-0.9712,-1.183,-1.2978,-1.3078,-0.6861,-0.5481
193,2.546154,3.8361,3.1706,1.9825,-0.515,-0.1024,-0.4003,-0.5942,-0.799,-1.0118,-1.1311,-1.1394,-0.5086,-0.3702
194,2.546004,3.834,3.2477,1.8972,-0.3061,0.1142,-0.1929,-0.3905,-0.5977,-0.8128,-0.9355,-0.9423,-0.3026,-0.1629
195,2.545885,3.8302,3.3268,1.8025,-0.034,0.3742,0.0469,-0.158,-0.3714,-0.5951,-0.7267,-0.7337,-0.0671,0.0812
196,2.545848,3.8246,3.4099,1.6987,0.2862,0.6672,0.3136,0.0975,-0.1236,-0.3604,-0.5042,-0.512,0.1927,0.354
197,2.545876,3.8175,3.4877,1.5914,0.6542,0.9878,0.5968,0.3651,0.1314,-0.1254,-0.2869,-0.2962,0.4651,0.6478
198,2.546017,3.8087,3.5545,1.4885,1.0448,1.3124,0.8753,0.6237,0.3756,0.0925,-0.091,-0.1035,0.7305,0.9407
199,2.546265,3.7981,3.5995,1.4008,1.4308,1.6142,1.1236,0.8483,0.5827,0.2674,0.0574,0.0413,0.9615,1.2058
200,2.546625,3.7861,3.6147,1.3374,1.7856,1.8662,1.3161,1.0151,0.7295,0.3765,0.1371,0.1157,1.1359,1.4182
201,2.546964,3.7754,3.6086,1.3014,2.0569,2.0381,1.4375,1.1139,0.8115,0.4239,0.1596,0.1325,1.2406,1.5567
202,2.547221,3.767,3.5915,1.2853,2.2409,2.1414,1.5024,1.1616,0.8459,0.4314,0.1479,0.1166,1.293,1.6352
203,2.547414,3.7609,3.5723,1.2788,2.3757,2.2097,1.5391,1.1844,0.858,0.4218,0.1233,0.0882,1.3191,1.6828
204,2.547587,3.7555,3.5509,1.2788,2.4791,2.2556,1.5575,1.1906,0.8553,0.4005,0.0889,0.0506,1.3287,1.7102
205,2.547734,3.7506,3.528,1.2838,2.5555,2.2825,1.5607,1.1839,0.8407,0.3696,0.0476,0.006,1.3248,1.7221
206,2.547864,3.7475,3.506,1.2908,2.6095,2.2955,1.5546,1.17,0.8203,0.337,0.0063,-0.038,1.3129,1.7225
207,2.547967,3.7442,3.4854,1.3,2.647,2.2987,1.5417,1.151,0.7963,0.3026,-0.0346,-0.0813,1.2949,1.7149
208,2.548057,3.7416,3.4664,1.3092,2.6739,2.2959,1.5265,1.13,0.7713,0.2685,-0.0722,-0.1222,1.276,1.7031
209,2.54814,3.74,3.4483,1.32,2.689,2.2863,1.5061,1.1057,0.7439,0.2339,-0.111,-0.1623,1.2526,1.6861
210,2.548211,3.7382,3.4308,1.3311,2.6945,2.2721,1.4829,1.0794,0.7148,0.1991,-0.1488,-0.202,1.2274,1.6659
211,2.548277,3.7366,3.4147,1.3412,2.6913,2.2568,1.4606,1.0537,0.6871,0.1667,-0.1841,-0.2381,1.2029,1.6445
212,2.548336,3.7355,3.3989,1.3521,2.6837,2.2393,1.4373,1.0283,0.6593,0.1349,-0.2191,-0.2735,1.1777,1.6231
213,2.548369,3.734,3.3822,1.364,2.6701,2.218,1.4102,0.9983,0.6277,0.1,-0.2575,-0.312,1.1489,1.5976
214,2.548432,3.7328,3.3662,1.3754,2.6538,2.1988,1.3855,0.9716,0.5996,0.0679,-0.2932,-0.3476,1.123,1.5748
215,2.548484,3.7321,3.3507,1.3861,2.6353,2.179,1.362,0.9452,0.571,0.0366,-0.3287,-0.3815,1.0971,1.5518
216,2.548537,3.7309,3.3351,1.3971,2.6142,2.1584,1.3366,0.9181,0.5422,0.0043,-0.366,-0.4171,1.0706,1.5275
217,2.548557,3.7308,3.3313,1.4005,2.6094,2.1526,1.3303,0.9112,0.5347,-0.0039,-0.3745,-0.4261,1.0637,1.5211
218,2.54858,3.7307,3.3268,1.4033,2.6044,2.1472,1.3233,0.9032,0.5271,-0.0122,-0.3835,-0.4351,1.0568,1.515
219,2.548596,3.7302,3.3234,1.4063,2.5997,2.141,1.3172,0.8966,0.5196,-0.0198,-0.3925,-0.4441,1.0498,1.5088
220,2.548623,3.7298,3.3189,1.4093,2.5983,2.1371,1.3111,0.8902,0.513,-0.0281,-0.4016,-0.4527,1.0435,1.5038
221,2.548643,3.73,3.3158,1.4119,2.5907,2.13,1.3037,0.8824,0.505,-0.0363,-0.4106,-0.4613,1.0354,1.4964
222,2.548663,3.7295,3.3117,1.415,2.5868,2.1246,1.2975,0.8759,0.4979,-0.0445,-0.419,-0.4699,1.0293,1.4906
223,2.548687,3.7294,3.3082,1.418,2.5822,2.1192,1.2915,0.8694,0.4907,-0.0521,-0.4276,-0.4785,1.0225,1.485
224,2.548707,3.7293,3.3044,1.4206,2.578,2.1145,1.2852,0.8624,0.4833,-0.06,-0.4365,-0.4868,1.0159,1.4785
225,2.548726,3.7286,3.301,1.4236,2.5737,2.1091,1.2788,0.8562,0.4765,-0.0675,-0.4451,-0.4951,1.0091,1.4725
226,2.548747,3.7285,3.2968,1.4263,2.5699,2.1034,1.2726,0.8494,0.4691,-0.0758,-0.4539,-0.5041,1.0027,1.4668
227,2.548937,3.7263,3.2635,1.4519,2.5303,2.0557,1.2164,0.7887,0.4051,-0.1458,-0.5311,-0.5809,0.9431,1.4135
228,2.549105,3.7247,3.231,1.4767,2.4953,2.0104,1.163,0.7304,0.3433,-0.2141,-0.6061,-0.6549,0.8859,1.3625
229,2.549321,3.7222,3.1929,1.5062,2.4513,1.9544,1.0974,0.6604,0.2695,-0.2954,-0.6952,-0.7436,0.8167,1.3006
230,2.549365,3.7214,3.1744,1.5196,2.4323,1.9306,1.0686,0.6288,0.2354,-0.3336,-0.7366,-0.785,0.7856,1.2725
231,2.549551,3.7194,3.1384,1.5477,2.4003,1.8799,1.0075,0.5637,0.1657,-0.4105,-0.8198,-0.8688,0.7213,1.215
232,2.549563,3.7187,3.1257,1.5568,2.3857,1.8616,0.9861,0.5406,0.1417,-0.4372,-0.8486,-0.8977,0.6986,1.1933
233,2.549702,3.7167,3.0962,1.5803,2.3585,1.8183,0.9338,0.4853,0.083,-0.5012,-0.918,-0.9678,0.644,1.1437
234,2.54998,3.7145,3.0491,1.6171,2.3158,1.7492,0.852,0.3976,-0.0088,-0.6029,-1.0261,-1.077,0.5578,1.0662
235,2.550106,3.7133,3.0257,1.6368,2.2869,1.71,0.8071,0.3508,-0.058,-0.6552,-1.0809,-1.1335,0.5114,1.0224
236,2.550382,3.7111,2.9808,1.6715,2.2527,1.6469,0.7312,0.269,-0.144,-0.7517,-1.1833,-1.2374,0.4308,0.9506
237,2.550403,3.7104,2.9693,1.681,2.2387,1.6273,0.7085,0.2455,-0.1683,-0.7777,-1.2108,-1.2651,0.4077,0.9285
238,2.550637,3.7084,2.93,1.7125,2.2039,1.5695,0.6398,0.172,-0.2459,-0.8628,-1.3015,-1.3575,0.3352,0.8631
239,2.550919,3.7063,2.8872,1.7467,2.1627,1.5037,0.5625,0.0898,-0.3322,-0.9568,-1.4011,-1.4591,0.2541,0.7894
