#,dist(asec)identifier,typcoord1(ICRS,",J2000/2000)",plx,radvel,redshift,cz,,MagU,MagB,MagV,MagR,MagG,MagI,spec.type,,#bib#,not
146,263.41[FRP2000]14,X166.52496-58.659,92,,,,,,,,,,,,,,1,0
147,263.89GaiaEDR35340162022913251712,*166.5242661690600,-58.65928013,1.7877,,,,,,,,,16.384375,,,,1,0
148,264.41Cl*NGC3532FERN126,*166.4025595020300,-58.63358618,0.5569,-23.77,-0.000079,-23.77,,,,,,12.821444,,,,1,0
149,265.132MASSJ11050676-5843214,*166.2782030746900,-58.72259802,2.1755,5.95,0.00002,5.95,,,18.208,16.849,15.966,16.247223,15.137,,,5,0
150,267.14GaiaEDR35338661631880131712,*166.2961331698800,-58.74655958,2.0953,,,,,,,,,15.961198,,,,4,0
151,270.502MASSJ11061139-5840284,*166.5474210916700,-58.67458925,2.0639,,,,,,,,,17.579201,,,,3,0
152,271.04Cl*NGC3532FERN119,*166.4275161850000,-58.6315908,2.0665,5.92,0.00002,5.92,,,12.698,12.221,11.942,12.128771,11.618,,,7,0
153,271.09[CLH2011b]170631,*166.5166754197100,-58.65218739,2.1138,7.41,0.000025,7.41,,,17.02,15.789,15.085,15.372931,14.471,,,5,0
154,271.19Cl*NGC3532FERN36,*166.2737174119100,-58.69404061,2.0147,-10.2,-0.000034,-10.2,,,13.5,12.78,12.65,12.653204,,,,2,0
155,274.69CPD-574228,*166.3358728699200,-58.64296537,2.0862,,,,,,10.945,10.712,10.561,10.676085,10.38,A5V,,11,0
156,277.05NGC353284,*166.3256746236200,-58.76743568,1.1008,31.95,0.000107,31.95,,,11.474,9.855,8.69,8.516311,7.078,M4,,4,0
157,277.81[CLH2011b]189050,*166.4067760182900,-58.78366656,0.0595,58.08,0.000194,58.09,,,17.853,16.367,15.529,15.773474,14.69,,,1,0
158,278.26[CLH2011b]168638,*166.52854-58.655,75,,10.64,0.000035,10.64,,,17.023,15.946,15.246,,14.715,,,1,0
159,278.56CPD-583102,*166.5529001981800,-58.73804112,2.0466,,,,,,8.561,8.469,8.42,8.469661,8.355,A2IV,,18,0
160,279.47Cl*NGC3532FERN12,*166.4738650109200,-58.77840026,2.0933,,,,,,,,13.83,13.877428,,,,6,0
161,280.182MASSJ11053347-5846595,*166.3894776121700,-58.78320582,2.1416,3.82,0.000013,3.82,,,16.271,15.212,14.59,14.907544,14.054,,,5,0
162,282.092MASSJ11050461-5841243,*166.2692548538800,-58.69009805,2.0903,5.28,0.000018,5.28,,,14.53,13.804,13.373,13.616977,12.957,,,3,0
163,282.66GaiaEDR35338664556775635072,*166.3185850948496,-58.64695944,2.048,,,,,,,,,17.452435,,,,1,0
164,283.38Cl*NGC3532FERN11,*166.4650010920500,-58.78128163,2.0903,5.12,0.000017,5.12,,,12.848,12.35,12.056,12.256683,11.781,,,6,0
165,285.22CPD-574223,*166.3191179854700,-58.64579535,2.066,,,,,,10.689,10.483,10.382,10.471891,10.226,A4V,,13,0
166,285.62CPD-583057,*166.3270934909000,-58.77096145,2.1645,,,,,,9.724,9.635,9.561,9.646238,9.512,A2V,,12,0
167,288.16**JSP464B,*166.4014841799300,-58.62701241,0.31,,,,,,,,,13.267694,,,,0,0
168,288.352MASSJ11055103-5837489,*166.4626465994700,-58.63021996,2.1232,5.62,0.000019,5.62,,,19.612,18.09,17.088,17.235718,15.949,,,6,0
169,289.29CPD-583100,*166.5476814772200,-58.74947009,2.0602,,,,,,10.561,10.363,10.266,10.352764,10.158,A4V,,13,0
170,289.52Cl*NGC3532FERN250,**166.401217700-58,0.626647,,,,,,,12.24,11.94,12.02,,,,,1,0
171,289.79**JSP464A,*166.4011535397300,-58.62657356,0.3133,,,,,,,,,12.265089,,,,0,0
172,290.212MASSJ11061715-5842038,*166.5714816475400,-58.70107905,2.1593,,,,,,,,,18.019119,,,,2,0
173,291.12GaiaEDR35338664110099988992,RR?166.4153465022100,-58.6258025,1.0616,,,,,,,,,20.220106,,,,1,0
174,292.132MASSJ11061049-5845140,PM*166.5437799659500,-58.75390376,2.8312,-6.24,-0.000021,-6.24,,,19.581,18.149,17.069,17.090288,15.691,,,1,0
175,292.212MASSJ11054872-5847082,*166.4529958848000,-58.78561839,2.0642,,,,,,,,,15.173372,,,,1,0
176,292.292MASSJ11061743-5842063,*166.5726820064500,-58.701772,1.4736,30.02,0.0001,30.02,,,20.335,18.831,17.749,17.876822,16.508,,,1,0
177,293.75HD96260,*166.2596819387100,-58.70369353,2.0923,,,,,,9.351,9.306,9.288,9.319536,9.236,A,,21,0
178,294.30Cl*NGC3532FERN251,*166.3818201359300,-58.62695089,2.1247,,,,,,,,,13.339563,,,,6,0
179,294.87[CLH2011b]160941,*166.5723903711800,-58.69385144,0.1547,-13.84,-0.000046,-13.84,,,17.455,16.215,15.492,15.804997,14.871,,,1,0
180,295.72Cl*NGC3532FERN108,*166.5530581594800,-58.6651609,2.1127,-39.93,-0.000133,-39.93,,,,,,12.736018,,,,6,0
181,296.442MASSJ11050630-5844418,*166.2762358084000,-58.74495366,1.6543,,,,,,,,,13.399471,,,,2,0
182,296.52[CLH2011b]182680,*166.4458439397000,-58.78763169,0.2088,18.29,0.000061,18.29,,,17.146,15.751,14.971,15.240232,14.216,,,1,0
183,296.59CPD-583044,*166.2633733428400,-58.68560305,2.1005,,,,,,9.621,9.525,9.491,9.53802,9.402,A1V,,19,0
184,297.91CPD-583072,PM*166.4096129016700,-58.78933857,7.112,,,,,,10.961,10.275,9.893,10.149949,9.568,,,4,0
185,298.26CPD-574261,*166.5496238089000,-58.66096595,2.0659,7.55,0.000025,7.55,,,11.414,11.091,10.922,11.057862,10.736,,,9,0
186,301.102MASSJ11054472-5847228,*166.4363638449200,-58.78967884,2.0879,4.3,0.000014,4.3,,,14.838,14.031,13.596,13.861375,13.198,,,4,0
187,301.23[CLH2011b]161999,*166.5663966610500,-58.67588443,,41.36,0.000138,41.36,,,17.135,15.83,15.074,15.694297,14.344,,,1,0
188,303.13Cl*NGC3532FERN63,*166.4193893523900,-58.79085641,1.235,19.14,0.000064,19.14,,,,,,12.399385,,,,1,0
189,303.462MASSJ11061872-5842563,*166.5780470051700,-58.71565282,1.6846,14.53,0.000048,14.53,,,16.894,15.74,15.046,15.337331,14.412,,,1,0
190,303.662MASSJ11050573-5844489,*166.2738964983800,-58.7469378,0.4485,36.17,0.000121,36.17,,,17.502,16.24,15.527,15.812658,14.848,,,1,0
191,304.16Cl*NGC3532FERN91,*166.5786752632900,-58.71432465,1.9199,-13.51,-0.000045,-13.51,,,13.85,13.23,13.18,13.178904,12.613,,,2,0
192,304.562MASSJ11050185-5841174,*166.2577779438100,-58.68816131,2.151,,,,,,,,,16.032682,,,,1,0
193,305.152MASSJ11060282-5838160,*166.5117029980000,-58.63779417,2.0247,5.94,0.00002,5.94,,,19.603,18.092,17.093,17.309504,15.991,,,4,0
194,305.91Cl*NGC3532FERN84,*166.5368677772100,-58.76436524,2.1144,,,,,,12.56,12.03,,11.94309,,,,4,0
195,307.222MASSJ11052976-5847207,*166.3739608816300,-58.78907932,2.1826,,,,,,,,,18.543449,,,,1,0
